activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1832505,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1)OCc1ccccc1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL222179,,CHEMBL222179,,0,http://www.openphacts.org/units/Nanomolar,628882,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832506,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)OC(=O)Nc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL221565,,CHEMBL221565,,0,http://www.openphacts.org/units/Nanomolar,628881,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832507,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ccccc1-c1cc(=O)cc(N2CCOCC2)o1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL375346,,CHEMBL375346,,0,http://www.openphacts.org/units/Nanomolar,628880,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832508,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccccc2C(F)(F)F)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL223610,,CHEMBL223610,,0,http://www.openphacts.org/units/Nanomolar,628879,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832509,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCc1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL225273,,CHEMBL225273,,0,http://www.openphacts.org/units/Nanomolar,628898,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832510,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1ccc(-c2cc(=O)cc(N3CCOCC3)o2)c(N)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL224782,,CHEMBL224782,,0,http://www.openphacts.org/units/Nanomolar,628897,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832511,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccc(-c3ccccc3)cc2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL426894,,CHEMBL426894,,0,http://www.openphacts.org/units/Nanomolar,628896,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832512,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(OCc1ccccc1)c1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL222815,,CHEMBL222815,,0,http://www.openphacts.org/units/Nanomolar,628895,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832513,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL222181,,CHEMBL222181,,0,http://www.openphacts.org/units/Nanomolar,628894,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832514,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1ccccc1-c1cc(=O)cc(N2CCOCC2)o1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL373526,,CHEMBL373526,,0,http://www.openphacts.org/units/Nanomolar,628893,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832515,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL222180,,CHEMBL222180,,0,http://www.openphacts.org/units/Nanomolar,628892,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832516,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=Cc1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL223437,,CHEMBL223437,,0,http://www.openphacts.org/units/Nanomolar,628891,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832517,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,"{'bei': '19.94', 'le': '0.40', 'lle': '3.13', 'sei': '18.48'}",CHEMBL222102,KU-55933,CHEMBL222102,7.89,1,http://www.openphacts.org/units/Nanomolar,628917,=,1,1,=,,IC50,nM,,13.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,0.013
,1832518,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2cccc3c2oc2ccccc23)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,"{'bei': '15.82', 'le': '0.29', 'lle': '1.45', 'sei': '9.84'}",CHEMBL373979,,CHEMBL373979,5.50,0,http://www.openphacts.org/units/Nanomolar,628916,=,1,1,=,,IC50,nM,,3200.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,3.2
,1832519,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2cccc3cccnc23)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL223041,,CHEMBL223041,,0,http://www.openphacts.org/units/Nanomolar,628915,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832520,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=Cc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)c2ccccc12,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL223382,,CHEMBL223382,,0,http://www.openphacts.org/units/Nanomolar,628914,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832521,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)c2ccccc12,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL389267,,CHEMBL389267,,0,http://www.openphacts.org/units/Nanomolar,628913,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832522,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccc3ccccc3c2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL225609,,CHEMBL225609,,0,http://www.openphacts.org/units/Nanomolar,628912,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832523,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2cccc3ccccc23)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL225608,,CHEMBL225608,,0,http://www.openphacts.org/units/Nanomolar,628911,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832524,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2cc3ccccc3o2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,"{'bei': '15.96', 'le': '0.29', 'lle': '1.85', 'sei': '8.50'}",CHEMBL222545,,CHEMBL222545,4.75,0,http://www.openphacts.org/units/Nanomolar,628910,=,1,1,=,,IC50,nM,,18000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,18.0
,1832525,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2cc3ccccc3s2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL222544,,CHEMBL222544,,0,http://www.openphacts.org/units/Nanomolar,628909,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832526,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2csc3ccccc23)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,"{'bei': '17.12', 'le': '0.33', 'lle': '2.01', 'sei': '12.57'}",CHEMBL374930,,CHEMBL374930,5.37,0,http://www.openphacts.org/units/Nanomolar,628908,=,1,1,=,,IC50,nM,,4300.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,4.3
,1832527,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccc3[nH]ccc3c2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL222745,,CHEMBL222745,,0,http://www.openphacts.org/units/Nanomolar,628907,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832528,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)c1ccc(-c2cc(=O)cc(N3CCOCC3)o2)s1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL222577,,CHEMBL222577,,0,http://www.openphacts.org/units/Nanomolar,628906,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832529,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=Cc1sccc1-c1cc(=O)cc(N2CCOCC2)o1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL222525,,CHEMBL222525,,0,http://www.openphacts.org/units/Nanomolar,628905,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832530,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccco2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL223775,,CHEMBL223775,,0,http://www.openphacts.org/units/Nanomolar,628904,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832531,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccsc2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL223381,,CHEMBL223381,,0,http://www.openphacts.org/units/Nanomolar,628903,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832532,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2cccs2)oc(N2CCOCC2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL374133,,CHEMBL374133,,0,http://www.openphacts.org/units/Nanomolar,628902,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,1832533,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1c2ccccc2C(=O)N1Cc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL374290,,CHEMBL374290,,0,http://www.openphacts.org/units/Nanomolar,628901,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832534,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1c2ccccc2C(=O)N1Cc1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL373699,,CHEMBL373699,,0,http://www.openphacts.org/units/Nanomolar,628900,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,100.0
,1832535,[],CHEMBL916757,Inhibition of ATM kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)/C=C/c1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1,,,CHEMBL1143005,J. Med. Chem.,2007,,CHEMBL223667,,CHEMBL223667,,0,http://www.openphacts.org/units/Nanomolar,628899,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,2137162,[],CHEMBL937043,Inhibition of ATM,B,,,BAO_0000190,BAO_0000357,single protein format,NC(N)=S,,,CHEMBL1145498,Proc. Natl. Acad. Sci. U.S.A.,2007,"{'bei': '88.01', 'le': '2.29', 'lle': '7.51', 'sei': '12.87'}",CHEMBL260876,THIOUREA,CHEMBL260876,6.70,0,http://www.openphacts.org/units/Nanomolar,705241,=,1,1,=,,IC50,nM,,200.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,nM,UO_0000065,,200.0
,2137235,[],CHEMBL937043,Inhibition of ATM,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,,,CHEMBL1145498,Proc. Natl. Acad. Sci. U.S.A.,2007,,CHEMBL104468,,CHEMBL104468,,1,http://www.openphacts.org/units/Nanomolar,705223,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,nM,UO_0000065,,100000.0
,2137255,[],CHEMBL937043,Inhibition of ATM,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ccccc2/C1=C\c1ccc[nH]1,,,CHEMBL1145498,Proc. Natl. Acad. Sci. U.S.A.,2007,"{'bei': '23.41', 'le': '0.42', 'lle': '2.41', 'sei': '10.96'}",CHEMBL101797,,CHEMBL101797,4.92,0,http://www.openphacts.org/units/Nanomolar,705226,=,1,1,=,,IC50,nM,,12000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,nM,UO_0000065,,12000.0
,2137259,[],CHEMBL937043,Inhibition of ATM,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,,,CHEMBL1145498,Proc. Natl. Acad. Sci. U.S.A.,2007,"{'bei': '9.08', 'le': '0.17', 'lle': '-0.41', 'sei': '4.19'}",CHEMBL189584,PD-173074,CHEMBL189584,4.75,0,http://www.openphacts.org/units/Nanomolar,705229,=,1,1,=,,IC50,nM,,17600.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,nM,UO_0000065,,17600.0
,3010679,[],CHEMBL1049652,Inhibition of ATM,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(/C=N/Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc(OC)c1O,,,CHEMBL1156040,Bioorg. Med. Chem. Lett.,2009,,CHEMBL585699,,CHEMBL585699,,0,http://www.openphacts.org/units/Nanomolar,862547,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,uM,UO_0000065,,10.0
,3418822,[],CHEMBL1226586,Inhibition of ataxia telangiectasia-mutated,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,,,CHEMBL1221185,Nat. Chem. Biol.,2006,"{'bei': '12.05', 'le': '0.26', 'lle': '1.04', 'sei': '6.96'}",CHEMBL1221601,,CHEMBL1221601,6.70,0,http://www.openphacts.org/units/Nanomolar,934772,=,1,1,=,,IC50,nM,,200.0,CHEMBL3797,Homo sapiens,Serine-protein kinase ATM,9606,,,IC50,nM,UO_0000065,,200.0
